epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,321.39,0.73011,3.12836,0.938,0.00333,1,0.00943,0.00716,0.85213,3.53708,1.06896,0.00150785,0.000502618,0.00150785,0.000502618,0.00150785,0.000502618,0.00150785,0.000502618
49,330.261,0.77418,3.01233,0.88401,0.00333,1,0.00926,0.00703,0.8241,3.50926,1.05948,0.00151142,0.000503808,0.00151142,0.000503808,0.00151142,0.000503808,0.00151142,0.000503808
50,332.609,0.78521,2.78114,0.98571,0.00333,1,0.00926,0.00703,0.8241,3.50926,1.05948,0.00151381,0.000504602,0.00151381,0.000504602,0.00151381,0.000504602,0.00151381,0.000504602
51,341.292,0.6856,3.03907,0.95806,0.00333,1,0.00917,0.00724,0.79625,3.48285,1.05024,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,343.599,0.80752,2.84396,0.9628,0.00333,1,0.00917,0.00724,0.79625,3.48285,1.05024,0.00151501,0.000505002,0.00151501,0.000505002,0.00151501,0.000505002,0.00151501,0.000505002
53,345.894,0.81049,2.55726,0.98858,0.00333,1,0.00917,0.00724,0.79625,3.48285,1.05024,0.00151382,0.000504608,0.00151382,0.000504608,0.00151382,0.000504608,0.00151382,0.000504608
54,354.75,0.70953,2.86831,1.02101,0.00333,1,0.00896,0.00708,0.72298,3.50213,1.05163,0.00151145,0.000503818,0.00151145,0.000503818,0.00151145,0.000503818,0.00151145,0.000503818
55,357.034,0.78568,2.63608,0.92258,0.00333,1,0.00896,0.00708,0.72298,3.50213,1.05163,0.0015079,0.000502632,0.0015079,0.000502632,0.0015079,0.000502632,0.0015079,0.000502632
56,359.248,0.82532,2.59706,1.03811,0.00333,1,0.00896,0.00708,0.72298,3.50213,1.05163,0.00150315,0.00050105,0.00150315,0.00050105,0.00150315,0.00050105,0.00150315,0.00050105
57,368.103,0.66274,2.5343,0.93959,0.00333,1,0.00877,0.00692,0.73427,3.44567,1.04385,0.00149722,0.000499072,0.00149722,0.000499072,0.00149722,0.000499072,0.00149722,0.000499072
58,370.44,0.71771,2.02894,1.00777,0.00333,1,0.00877,0.00692,0.73427,3.44567,1.04385,0.00149009,0.000496698,0.00149009,0.000496698,0.00149009,0.000496698,0.00149009,0.000496698
59,372.697,0.75034,2.69147,0.95086,0.00333,1,0.00877,0.00692,0.73427,3.44567,1.04385,0.00148178,0.000493928,0.00148178,0.000493928,0.00148178,0.000493928,0.00148178,0.000493928
60,381.646,0.90574,2.56759,0.99285,0.00333,1,0.00873,0.00689,0.72934,3.42188,1.03721,0.00147229,0.000490762,0.00147229,0.000490762,0.00147229,0.000490762,0.00147229,0.000490762
61,383.961,0.98538,2.37495,1.07534,0.00333,1,0.00873,0.00689,0.72934,3.42188,1.03721,0.0014616,0.0004872,0.0014616,0.0004872,0.0014616,0.0004872,0.0014616,0.0004872
62,386.223,0.84161,2.05158,1.05465,0.00333,1,0.00873,0.00689,0.72934,3.42188,1.03721,0.00144973,0.000483242,0.00144973,0.000483242,0.00144973,0.000483242,0.00144973,0.000483242
63,395.02,0.93144,2.03662,0.96809,0.00333,1,0.00865,0.00684,0.72744,3.38282,1.03105,0.00143666,0.000478888,0.00143666,0.000478888,0.00143666,0.000478888,0.00143666,0.000478888
64,397.2,0.81985,1.80432,1.0272,0.00333,1,0.00865,0.00684,0.72744,3.38282,1.03105,0.00142241,0.000474138,0.00142241,0.000474138,0.00142241,0.000474138,0.00142241,0.000474138
65,399.395,0.64817,1.81066,0.87159,0.00333,1,0.00865,0.00684,0.72744,3.38282,1.03105,0.00140698,0.000468992,0.00140698,0.000468992,0.00140698,0.000468992,0.00140698,0.000468992
66,408.187,0.82459,1.94087,0.94817,0.00333,1,0.00843,0.00615,0.70855,3.3241,1.02855,0.00139035,0.00046345,0.00139035,0.00046345,0.00139035,0.00046345,0.00139035,0.00046345
67,410.474,0.68689,2.40712,1.04216,0.00333,1,0.00843,0.00615,0.70855,3.3241,1.02855,0.00137254,0.000457512,0.00137254,0.000457512,0.00137254,0.000457512,0.00137254,0.000457512
68,412.752,0.95005,2.26119,1.02196,0.00333,1,0.00843,0.00615,0.70855,3.3241,1.02855,0.00135353,0.000451178,0.00135353,0.000451178,0.00135353,0.000451178,0.00135353,0.000451178
69,421.885,0.76606,1.86716,0.95776,0.00333,1,0.05385,0.03795,0.70908,3.28349,1.02169,0.00133334,0.000444448,0.00133334,0.000444448,0.00133334,0.000444448,0.00133334,0.000444448
70,424.157,0.76037,2.05457,1.00681,0.00333,1,0.05385,0.03795,0.70908,3.28349,1.02169,0.00131197,0.000437322,0.00131197,0.000437322,0.00131197,0.000437322,0.00131197,0.000437322
